manufacturer,product_name,model_number,optical_zoom,weight_g,price_usd,meets_criteria,near_miss,near_miss_reason,has_thermal,has_night_vision,gimbal_axes,sensor_size,megapixels,max_video_resolution,product_url,notes,country_of_origin,digital_zoom_max,total_zoom_combined,sensor_type,max_photo_resolution,dimensions_mm,power_consumption_w,voltage_input,stabilization_range_pitch,stabilization_range_yaw,stabilization_range_roll,output_interface,control_protocol,compatible_drones,ip_rating,price_source,availability,notable_features
Aero Sentinel,Snunit (Snonit),Snunit,13x (EO optical); 26x total with 2x digital (x13 optical + x2 digital = x26),180,,True,False,,True,True,3,,,,https://www.aero-sentinel.com/drone-systems/snonit/,,Israel,2x,26x (13x optical x 2x digital),Dual EO + IR sensors,,84 mm (D) x 58 mm (W) x 82 mm (H),,,-45 to +135 degrees,,-180 to +180 degrees,"IP streaming, video compression",,"Aero Sentinel G1, G2, G3 tactical drones; small UAVs",,"Defense product, pricing not publicly listed; contact Aero Sentinel",Available (defense sales),Only 180g with dual EO/IR sensors; 26x total zoom (13x optical + 2x digital); 3-axis stabilization; 640x480 thermal resolution; FOV range: 60 deg WFOV to 4.5 deg NFOV to 2.2 deg DFOV; EO/IR object tracking; Geolocation capability; Video compression and IP streaming; LTE connectivity; License plate recognition
Aero Sentinel,Dror,Dror,,115,,False,False,Zoom specifications not publicly available; at 115g it is likely a fixed or low-zoom system. Weight is excellent at 115g but zoom capability unconfirmed.,True,True,3,,,,https://www.aero-sentinel.com/drone-systems/dror/,,Israel,,,Dual EO + IR sensors,,,,,,,,"IP streaming, video compression",,"Aero Sentinel G1, G2, G3 tactical drones; small UAVs",,"Defense product, pricing not publicly listed; contact Aero Sentinel",Available (defense sales),Only 115g - micro stabilized gimbal; Dual EO/IR sensor design; EO/IR object tracking; Geolocation with high accuracy; Video compression and IP streaming; Video recording; LTE connectivity; License plate recognition; Designed for long-range reconnaissance
Autel Robotics,DG-L35T Gimbal Camera,DG-L35T (also marketed as L35T),35x (zoom camera),,,False,False,"Weight of gimbal alone not publicly listed but Autel Alpha with battery and gimbal is 6250g total, suggesting gimbal is likely 1500-2500g. Designed for large enterprise drone platform. Price of full system likely exceeds $10,000.",True,True,3,"1/1.8 inch (zoom), 1/2 inch (wide-angle)","8 MP (zoom camera), 48 MP (wide-angle camera)",4K (zoom camera),https://www.bhphotovideo.com/c/product/1815673-REG/autel_robotics_102002553_l35t_gimbal.html,,USA/China,16x (hybrid extends to 560x total),560x hybrid zoom,"1/1.8 inch CMOS (zoom camera, 8MP); 1/2 inch CMOS (wide-angle, 48MP); 640x512 uncooled VOx (dual thermal sensors)",48 MP (wide-angle); 8 MP (zoom),,,,,,,,Autel proprietary (designed for Autel Alpha and Titan platforms),"Autel Alpha, Autel Titan",,"Sold as standalone gimbal and in bundles with Autel Alpha drone. Gimbal-only pricing available from resellers (Volatus Drones, B&H Photo, DSLRPros, Drone Nerds) but not publicly listed on most sites; contact for quote. Full Alpha + L35T bundles available from multiple authorized dealers.",Available (commercial sales through authorized dealers),"5-in-1 sensor system: zoom camera, wide-angle camera, dual thermal cameras, laser rangefinder; 35x optical zoom with 560x hybrid zoom; Ultra-sensitive starlight night vision (4K 30fps in low light); Dual thermal imagers: 13mm wide-angle + 45mm telephoto (640x512); 56x hybrid zoom on thermal channels; Laser rangefinder: 10-2000m range, +/-(1m + D*0.15%) accuracy; 48MP wide-angle camera (84 deg DFOV, 24mm equivalent); Designed as standalone swappable gimbal for Autel Alpha platform"
Controp Precision Technologies,MICRO-STAMP,MICRO-STAMP,4.8x continuous,,,False,False,"Optical zoom only 4.8x, well below 10x threshold",True,True,3,,,,https://www.controp.com/family/stamp-family/,,Israel,,4.8x (optical only confirmed),Uncooled IR detector + CMOS day TV camera,,"102 mm (4 in) height, diameter not published",,,,continuous,,,,Small UAVs / mini UAVs,,"Defense product, pricing not publicly listed; contact manufacturer",Available (defense sales),Single LRU gyro-stabilized system; Dual FOV IR camera; Continuous zoom day TV camera; Ultra-compact 4-inch height
Controp Precision Technologies,D-STAMP,D-STAMP,10x,650,,False,True,"Meets 10x zoom and under 1000g, but price unknown (likely over $10,000 as defense product); daylight only, no thermal",False,False,3,,,,https://www.controp.com/family/stamp-family/,,Israel,,10x (optical only confirmed),High resolution color CCD camera,,,,,,continuous,,,,Miniature UAVs,,"Defense product, pricing not publicly listed; contact manufacturer",Available (defense sales),Daylight-only stabilized miniature payload; 10x optical zoom CCD camera; Three-gimbal gyro-stabilized system; Only 650g weight
Controp Precision Technologies,M-STAMP,M-STAMP,Continuous zoom (exact ratio not published),1300,,False,False,Weight 1300g exceeds 1000g limit; exact zoom ratio unpublished,True,True,3,,,,https://www.controp.com/family/stamp-family/,,Israel,,,CCD with continuous zoom lens + uncooled IR camera with continuous zoom lens,,102 mm (4 in) height,,,,continuous,,,,Small UAVs,,"Defense product, pricing not publicly listed; contact manufacturer",Available (defense sales),Multi-sensor payload with EO and IR; Laser pointer option; Continuous optical zoom on both EO and IR channels; Gyro-stabilized three-gimbal system
Controp Precision Technologies,T-STAMP-XR,T-STAMP-XR,8x,3500,,False,False,Weight 3500g far exceeds 1000g; zoom only 8x,True,True,3,,,HD,https://www.controp.com/family/stamp-family/,,Israel,,8x (optical only confirmed),Cooled 3-5 micron IR detector + HD CMOS color day camera,,178 mm (7 in) diameter x 301 mm (11.8 in) height,40,,,continuous,,,,"Small UAVs, Group 2+ UAS",,"Defense product, pricing not publicly listed; contact manufacturer",Available (defense sales),Cooled MWIR thermal sensor (3-5 micron); HD CMOS day camera with continuous zoom; 40W average / 95W max power consumption; Three-axis gyro-stabilized gimbal
Controp Precision Technologies,FOX 450Z,FOX 450Z,22.5x continuous,10000,,False,False,"Weight 10,000g far exceeds 1000g; thermal-only camera (no EO zoom); defense pricing likely far exceeds $10,000",True,True,,,,,https://www.controp.com/products/,,Israel,,22.5x (optical only confirmed),3rd generation FPA (Focal Plane Array) cooled IR,320x256 pixels (thermal),,,,,,,,,"UAVs, helicopters, light aircraft, ships, maritime patrol boats",,"Defense product, pricing not publicly listed; contact manufacturer",Available (defense sales),"22.5x continuous optical zoom thermal camera; 3rd generation cooled FPA sensor; Multi-platform: UAVs, helicopters, ships; Designed for long-range surveillance"
CZI,CZI C30N Smart Dual-Light Night Vision Gimbal Camera,C30N,30x,1500,15999,False,False,"Fails both weight (1500g vs 1000g limit) and price ($15,999-$25,999 vs $10,000 limit) criteria significantly",True,True,3,1/1.8 inch (visible light); 15.36mm x 12.28mm (thermal),4,1920x1080 @ 30fps (MP4),https://czi.com.cn/en/product-detail/technical-parameters?id=101&productModel=C30N,Spec listed as <=1500g; multiple retailers list 1510g (3.32 lbs +/-10g); High for imaging specs; moderate for price (varies by retailer); some electrical specs unavailable,China,32x,960x (30x optical * 32x digital),"1/1.8"" CMOS (visible light) + Uncooled VOx microbolometer (thermal)",1920x1080,172 x 152 x 191,,,-120 to +25 degrees (controlled); structural limit wider,+/- 95 degrees (controlled); +/- 100 degrees (structural),,DJI SkyPort (integrated with DJI Matrice payload interface),DJI PSDK / DJI Pilot 2 / CZI Pilot app,DJI Matrice 300 RTK; DJI Matrice 350 RTK,,"Adorama (sale price, reduced from $25,999 MSRP); other retailers ~$18,999-$25,999","In stock at multiple US retailers (Adorama, B&H, Amazon, DroneNerds, eBay, heliguy, etc.)","Starlight-level night vision with 1/1.8"" sensor and f/1.6 aperture; 850nm IR spotlight for active illumination (2W+, 3-degree beam); 1280x1024 uncooled VOx thermal imaging with 55mm telephoto thermal lens; 905nm laser rangefinder (10-1200m range); 21 TOPS AI computing power for on-board analytics; 30x optical zoom (6.5-162.5mm, equiv. 955mm); +/-0.01 degree stabilization precision; Smart dual-light (visible + IR) night operation; DJI PSDK compatible with Matrice 300/350 RTK; AI-powered target tracking and recognition"
DJI,Zenmuse H20,H20,23x,678,3849,True,False,,False,False,3,1/1.7 inch,20,3840x2160@30fps,https://enterprise.dji.com/zenmuse-h20-series,,China,200x,200x (23x optical + digital enhancement),CMOS,5184x3888,150x114x151,,,-120 to +30 deg,+/-320 deg,-90 to +60 deg (mechanical),DJI proprietary (Skyport),DJI proprietary,DJI Matrice 300 RTK; DJI Matrice 350 RTK,IP44,Advexure / multiple US resellers (standalone camera),Available (being superseded by H30 series),23x hybrid optical zoom; 200x max digital zoom; 12 MP wide-angle camera (82.9 deg DFOV); Laser rangefinder (3-1200m); Angular vibration +/-0.01 deg; Night scene mode with f/1.6 aperture; MicroSD storage up to 128GB
